SPRUCE_ID,anoxic,oxic,both,Specialist_phenol_decomposition
SPRUCE 2112,4,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2113,7,8,NA,Ambivalent_phenol_decomposition
SPRUCE 2120,13,26,NA,Oxic_phenol_decomposition
SPRUCE 2121,2,5,NA,Oxic_phenol_decomposition
SPRUCE 2124,1,6,NA,Oxic_phenol_decomposition
SPRUCE 2129,9,16,1,Oxic_phenol_decomposition
SPRUCE 2130,2,4,NA,Oxic_phenol_decomposition
SPRUCE 2131,5,13,NA,Oxic_phenol_decomposition
SPRUCE 2132,8,16,NA,Oxic_phenol_decomposition
SPRUCE 2136,5,4,NA,Ambivalent_phenol_decomposition
SPRUCE 2138,8,15,NA,Oxic_phenol_decomposition
SPRUCE 2141,9,20,NA,Oxic_phenol_decomposition
SPRUCE 2143,6,12,NA,Oxic_phenol_decomposition
SPRUCE 2148,7,26,NA,Oxic_phenol_decomposition
SPRUCE 2149,11,35,4,Oxic_phenol_decomposition
SPRUCE 2150,9,11,1,Ambivalent_phenol_decomposition
SPRUCE 2152,6,11,1,Oxic_phenol_decomposition
SPRUCE 2154,10,26,1,Oxic_phenol_decomposition
SPRUCE 2155,8,22,NA,Oxic_phenol_decomposition
SPRUCE 2156,10,22,1,Oxic_phenol_decomposition
SPRUCE 2157,8,21,1,Oxic_phenol_decomposition
SPRUCE 2158,7,12,NA,Oxic_phenol_decomposition
SPRUCE 2159,5,21,NA,Oxic_phenol_decomposition
SPRUCE 2160,0,1,NA,Oxic_phenol_decomposition
SPRUCE 2161,6,15,NA,Oxic_phenol_decomposition
SPRUCE 2163,10,12,NA,Ambivalent_phenol_decomposition
SPRUCE 2166,5,25,NA,Oxic_phenol_decomposition
SPRUCE 2169,14,55,4,Oxic_phenol_decomposition
SPRUCE 2172,10,40,1,Oxic_phenol_decomposition
SPRUCE 2174,7,12,1,Oxic_phenol_decomposition
SPRUCE 2177,6,7,NA,Ambivalent_phenol_decomposition
SPRUCE 2178,4,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2182,8,7,NA,Ambivalent_phenol_decomposition
SPRUCE 2183,9,46,NA,Oxic_phenol_decomposition
SPRUCE 2184,4,6,NA,Oxic_phenol_decomposition
SPRUCE 2185,2,4,NA,Oxic_phenol_decomposition
SPRUCE 2187,5,10,NA,Oxic_phenol_decomposition
SPRUCE 2188,4,2,NA,Anoxic_phenol_decomposition
SPRUCE 2189,1,7,NA,Oxic_phenol_decomposition
SPRUCE 2190,9,23,NA,Oxic_phenol_decomposition
SPRUCE 2191,14,45,2,Oxic_phenol_decomposition
SPRUCE 2192,8,15,1,Oxic_phenol_decomposition
SPRUCE 2195,10,42,1,Oxic_phenol_decomposition
SPRUCE 2196,7,17,1,Oxic_phenol_decomposition
SPRUCE 2197,3,4,NA,Ambivalent_phenol_decomposition
SPRUCE 2198,11,34,2,Oxic_phenol_decomposition
SPRUCE 2199,9,28,1,Oxic_phenol_decomposition
SPRUCE 2200,3,3,NA,Ambivalent_phenol_decomposition
SPRUCE 2202,11,26,2,Oxic_phenol_decomposition
SPRUCE 2203,8,12,NA,Oxic_phenol_decomposition
SPRUCE 2204,5,24,NA,Oxic_phenol_decomposition
SPRUCE 2206,1,2,NA,Oxic_phenol_decomposition
SPRUCE 2211,5,3,NA,Anoxic_phenol_decomposition
SPRUCE 2213,12,50,3,Oxic_phenol_decomposition
SPRUCE 2215,12,50,1,Oxic_phenol_decomposition
SPRUCE 2216,1,5,NA,Oxic_phenol_decomposition
SPRUCE 2217,11,27,2,Oxic_phenol_decomposition
SPRUCE 2218,7,19,NA,Oxic_phenol_decomposition
SPRUCE 2219,4,7,1,Oxic_phenol_decomposition
SPRUCE 2220,7,11,2,Oxic_phenol_decomposition
SPRUCE 2221,14,63,1,Oxic_phenol_decomposition
SPRUCE 2222,10,35,1,Oxic_phenol_decomposition
SPRUCE 2224,11,18,1,Oxic_phenol_decomposition
SPRUCE 2225,9,15,1,Oxic_phenol_decomposition
SPRUCE 2226,5,11,NA,Oxic_phenol_decomposition
SPRUCE 2227,1,3,NA,Oxic_phenol_decomposition
SPRUCE 2230,7,38,3,Oxic_phenol_decomposition
SPRUCE 2232,7,7,NA,Ambivalent_phenol_decomposition
SPRUCE 2233,8,13,NA,Oxic_phenol_decomposition
SPRUCE 2234,2,4,NA,Oxic_phenol_decomposition
SPRUCE 2236,11,17,NA,Oxic_phenol_decomposition
SPRUCE 2237,3,4,NA,Ambivalent_phenol_decomposition
SPRUCE 2238,4,10,1,Oxic_phenol_decomposition
SPRUCE 224,10,13,NA,Ambivalent_phenol_decomposition
SPRUCE 2240,8,14,NA,Oxic_phenol_decomposition
SPRUCE 2241,8,10,NA,Ambivalent_phenol_decomposition
SPRUCE 2242,6,17,1,Oxic_phenol_decomposition
