compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Benzopyrans,Class,Temp_avg_top,12,5,7,-0.08963277278049706,0.04089933630614981,0.49957983419248575,0.5743393710587903,0.23227547856609707,0.46455095713219413,0.3838185564567478,0.627460601688138
Coumarins and derivatives,Class,Temp_avg_top,24,12,12,-0.03212321591986627,0.04029391516098959,0.00933137988239896,0.10575563866718822,0.24834016967518696,0.469086987164242,0.5399185275875175,0.7060473053067536
Purine nucleosides,Class,Temp_avg_top,15,6,9,-0.007671181033261588,0.04069049243505772,0.038166689009575094,0.15505779577670412,0.32891380260733866,0.5468157759228216,0.2013748072780803,0.5098473275533084
Quinolines and derivatives,Class,Temp_avg_top,11,8,3,0.100849124620264,0.03985773837725348,0.6032510888706031,0.6409542819250158,0.3385183285742903,0.5468157759228216,0.36926726296605983,0.627460601688138
Imidazopyrimidines,Class,Temp_avg_top,15,10,5,0.06935687406502035,0.03985773837725348,0.5100782322785469,0.5743393710587903,0.36815463096198275,0.5468157759228216,0.6040395177910142,0.7484556739879941
Pyridines and derivatives,Class,Temp_avg_top,22,12,10,0.024650818250966468,0.040481648563965626,0.10687392892875247,0.3055466215454051,0.3696886800043496,0.5468157759228216,0.8329553898751738,0.8581964622956336
Piperidines,Class,Temp_avg_top,19,11,8,0.09291143305261707,0.04013125447513884,0.3175909039755741,0.5157434832467304,0.36990478959484996,0.5468157759228216,1,1
Azoles,Class,Temp_avg_top,13,9,4,0.10190632000824791,0.04013125447513884,0.638973863044278,0.658336707378953,0.4118001443543222,0.5833835378352898,0.4148726903416409,0.627460601688138
Phenols,Class,Temp_avg_top,13,10,3,0.04228461930032649,0.03985773837725348,0.6703578728235309,0.6703578728235309,0.49039143957147324,0.6669323578172036,0.16908464785431077,0.5098473275533084
Fatty Acyls,Class,Temp_avg_top,206,120,86,0.04536039748454247,0.039281854261217254,0.033060490063223855,0.15505779577670412,0.5432041091591797,0.6971000979139264,0.6733692269849103,0.7631517905828983
Organonitrogen compounds,Class,Temp_avg_top,41,25,16,0.06424623780126744,0.03985773837725348,0.4750648428144493,0.5743393710587903,0.5535794895198827,0.6971000979139264,0.6383886631074067,0.7484556739879941
Benzene and substituted derivatives,Class,Temp_avg_top,78,48,30,0.06190985519654511,0.039420351262187535,0.03065124555776011,0.15505779577670412,0.7207991761929788,0.8300248882317798,0.4244586423184463,0.627460601688138
Stilbenes,Class,Temp_avg_top,21,14,7,0.03324305533813897,0.04038778186247761,1.3366236172696055e-4,0.0022722601493583294,0.763745038059025,0.8300248882317798,0.38801102562377987,0.627460601688138
Unsaturated hydrocarbons,Class,Temp_avg_top,13,10,3,0.0717311796158351,0.04013125447513884,0.40347909734217124,0.5508998803389166,0.7817859000233423,0.8300248882317798,0.16908464785431077,0.5098473275533084
Keto acids and derivatives,Class,Temp_avg_top,12,5,7,-0.04601835550969045,0.040481648563965626,0.36472112150144587,0.5508998803389166,0.7898069420320778,0.8300248882317798,0.3838185564567478,0.627460601688138
Pyrans,Class,Temp_avg_top,8,4,4,-0.02255167234332301,0.04029391516098959,0.23861889666799696,0.4772377933359939,0.7945227203795605,0.8300248882317798,0.7329391430754169,0.7787478395176304
Naphthalenes,Class,Temp_avg_top,18,12,6,0.034823883642787545,0.040481648563965626,0.42491482539850034,0.5508998803389166,0.8056123915190804,0.8300248882317798,0.4798251855794696,0.6525622523880787
Hydroxy acids and derivatives,Class,Temp_avg_top,8,4,4,0.03952518920624297,0.04029391516098959,0.04104471064677462,0.15505779577670412,0.8635039272508378,0.8635039272508378,0.7329391430754169,0.7787478395176304
