SPRUCE_ID,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
SPRUCE 124,WT_drawdown_cm,WT_drawdown_cm,-0.4223260445765645,0.3789727139214331,0.2753047195321704,WT_drawdown_cm,0.6859074237166384,28,22
SPRUCE 2216,WT_drawdown_cm,WT_drawdown_cm,-0.04002004125486619,0.03622190264522497,0.279341289247898,WT_drawdown_cm,0.6859074237166384,28,1
SPRUCE 2192,WT_drawdown_cm,WT_drawdown_cm,-0.6167701186466285,0.5769718904471429,0.2949042931449034,WT_drawdown_cm,0.7040507899405352,28,4
SPRUCE 2046,WT_drawdown_cm,WT_drawdown_cm,0.08535302265594731,0.08094121724745439,0.3013523808851778,WT_drawdown_cm,0.7071126375925536,28,2
SPRUCE 181,WT_drawdown_cm,WT_drawdown_cm,-0.560655996366991,0.5318684902790777,0.3015235020677682,WT_drawdown_cm,0.7071126375925536,28,7
SPRUCE 513,WT_drawdown_cm,WT_drawdown_cm,-0.2135671531627819,0.21360358602263604,0.32660800944898183,WT_drawdown_cm,0.7461303664136222,28,3
SPRUCE 2174,WT_drawdown_cm,WT_drawdown_cm,-0.036432599754015645,0.03636722498954727,0.3256743070145899,WT_drawdown_cm,0.7461303664136222,28,1
SPRUCE 2203,WT_drawdown_cm,WT_drawdown_cm,-0.036432599754017345,0.036367224989547274,0.32567430701456757,WT_drawdown_cm,0.7461303664136222,28,1
SPRUCE 2060,WT_drawdown_cm,WT_drawdown_cm,-0.32027270229510385,0.3251425202242777,0.3336913392744342,WT_drawdown_cm,0.7461404636972411,28,3
SPRUCE 38,WT_drawdown_cm,WT_drawdown_cm,0.34797087423233314,0.3542814166009952,0.33505930256593086,WT_drawdown_cm,0.7461404636972411,28,9
SPRUCE 122,WT_drawdown_cm,WT_drawdown_cm,-0.40481854908630455,0.412013226964873,0.33489020544214165,WT_drawdown_cm,0.7461404636972411,28,16
SPRUCE 2020,WT_drawdown_cm,WT_drawdown_cm,-0.18463332441193386,0.18962805032231023,0.33919738054930626,WT_drawdown_cm,0.7490608820463847,28,3
SPRUCE 116,WT_drawdown_cm,WT_drawdown_cm,0.5343103934655449,0.5622998224255649,0.3507487871362801,WT_drawdown_cm,0.7528566740552272,28,12
SPRUCE 2225,WT_drawdown_cm,WT_drawdown_cm,-0.3129525193292811,0.3328561524560004,0.3557669083686571,WT_drawdown_cm,0.7528566740552272,28,2
SPRUCE 2187,WT_drawdown_cm,WT_drawdown_cm,0.047300693412440246,0.05186315354356012,0.3701328920868875,WT_drawdown_cm,0.7528566740552272,28,2
SPRUCE 112,WT_drawdown_cm,WT_drawdown_cm,0.13311309095425689,0.14374457102610816,0.36294211175264,WT_drawdown_cm,0.7528566740552272,28,3
SPRUCE 623,WT_drawdown_cm,WT_drawdown_cm,-0.6461502727518138,0.6942207573743256,0.36054200248706536,WT_drawdown_cm,0.7528566740552272,28,7
SPRUCE 2069,WT_drawdown_cm,WT_drawdown_cm,0.47859117702487064,0.5095000120829295,0.356204134158736,WT_drawdown_cm,0.7528566740552272,28,7
SPRUCE 158,WT_drawdown_cm,WT_drawdown_cm,0.30294440616172236,0.3161318862108004,0.34674602712364555,WT_drawdown_cm,0.7528566740552272,28,5
SPRUCE 2124,WT_drawdown_cm,WT_drawdown_cm,0.03313499965037156,0.03648833191396505,0.37216688415557964,WT_drawdown_cm,0.7528566740552272,28,1
SPRUCE 2112,WT_drawdown_cm,WT_drawdown_cm,-0.3548553641820848,0.39008651485911544,0.37134562707007224,WT_drawdown_cm,0.7528566740552272,28,5
SPRUCE 2130,WT_drawdown_cm,WT_drawdown_cm,0.03313499965036989,0.036488331913965,0.37216688415560284,WT_drawdown_cm,0.7528566740552272,28,1
SPRUCE 2120,WT_drawdown_cm,WT_drawdown_cm,-0.14861525887392857,0.1603137102559098,0.36243819246756415,WT_drawdown_cm,0.7528566740552272,28,5
SPRUCE 174,WT_drawdown_cm,WT_drawdown_cm,0.05061717423822734,0.05704582254952714,0.3830481737606257,WT_drawdown_cm,0.7689982276254987,28,2
SPRUCE 2183,WT_drawdown_cm,WT_drawdown_cm,0.7752432092310404,0.8832096040163725,0.38811502792184716,WT_drawdown_cm,0.7733118977390188,28,13
SPRUCE 479,WT_drawdown_cm,WT_drawdown_cm,-0.2548233806563804,0.29266184208377327,0.39188153742434817,WT_drawdown_cm,0.7749896075929273,28,4
SPRUCE 269,WT_drawdown_cm,WT_drawdown_cm,0.5554035661245967,0.6840511611394104,0.42420182376756577,WT_drawdown_cm,0.7806491895722564,28,13
SPRUCE 154,WT_drawdown_cm,WT_drawdown_cm,-0.1993505845553901,0.23582331456785466,0.4056341669792769,WT_drawdown_cm,0.7806491895722564,28,7
SPRUCE 2224,WT_drawdown_cm,WT_drawdown_cm,-0.02994472078393728,0.03659424051544475,0.4206280452219059,WT_drawdown_cm,0.7806491895722564,28,1
